predicted,ground_truth,ground_truth_stemmed
"SubString{String}[""super ball ix"", ""day festival"", ""summer jam"", ""phish hq"", ""little traffic"", ""announcement today"", ""little video"", ""new york"", ""ball"", ""festival"", ""resident hippie"", ""phish"", ""hq"", ""traffic"", ""day"", ""watkins"", ""video"", ""city"", ""drive"", ""more""]","[""concert"", ""big announcement"", ""3-day phestival"", ""phish phavors new york"", ""traffic nightmare"", ""hq"", ""watkins glen international"", ""quartet will"", ""super ball"", ""playing"", ""summer jam"", ""phinger lakes"", ""magnitude""]","[""concert"", ""big announc"", ""3-day phestiv"", ""phish phavor new york"", ""traffic nightmar"", ""hq"", ""watkin glen intern"", ""quartet will"", ""super ball"", ""play"", ""summer jam"", ""phinger lake"", ""magnitud""]"
"SubString{String}[""better world"", ""bier"", ""moral authority"", ""anton"", ""big man"", ""ethical dilemmas"", ""other"", ""violence"", ""better"", ""audience"", ""danish"", ""polite kid"", ""shot drama"", ""protective juices"", ""recent death"", ""hippocratic oath"", ""pipe bombs"", ""oscar voters"", ""right place"", ""christian"", ""elias"", ""melodramatic"", ""school"", ""questions"", ""african"", ""authority"", ""father"", ""moral"", ""moments"", ""anger"", ""mother"", ""well-spoken"", ""heart"", ""predators"", ""class"", ""trophy"", ""i"", ""nielsen"", ""access"", ""well-acted"", ""best"", ""unsubtle"", ""marital"", ""cancer"", ""parents"", ""children""]","[""matches"", ""basically"", ""anton's"", ""authorities"", ""putupon"", ""unspecified"", ""ways"", ""violence"", ""feeling"", ""chilly"", ""begins"", ""moments"", ""conflicts"", ""anton"", ""questions"", ""comeuppance"", ""harrowing"", ""order contrasting"", ""markus"", ""hit"", ""parents"", ""allow"", ""recent"", ""oath"", ""hippocratic"", ""lifethreatening"", ""relentlessly"", ""world"", ""language"", ""protagonists"", ""operating table full"", ""christian's"", ""children"", ""considering"", ""susanne"", ""pretty quickly"", ""consequences"", ""african nation"", ""disturbing"", ""man"", ""danish"", ""earnest"", ""danish greens"", ""wellacted"", ""better world""]","[""match"", ""basic"", ""anton'"", ""author"", ""putupon"", ""unspecifi"", ""way"", ""violenc"", ""feel"", ""chilli"", ""begin"", ""moment"", ""conflict"", ""anton"", ""question"", ""comeupp"", ""harrow"", ""order contrast"", ""marku"", ""hit"", ""parent"", ""allow"", ""recent"", ""oath"", ""hippocrat"", ""lifethreaten"", ""relentlessli"", ""world"", ""languag"", ""protagonist"", ""oper tabl full"", ""christian'"", ""children"", ""consid"", ""susann"", ""pretti quickli"", ""consequ"", ""african nation"", ""disturb"", ""man"", ""danish"", ""earnest"", ""danish green"", ""wellact"", ""better world""]"
"SubString{String}[""true grit star hailee steinfeld"", ""hailee steinfeld"", ""new version"", ""lead role"", ""true grit"", ""star"", ""cat patrick"", ""same name"", ""hailee"", ""academy award"", ""several"", ""classic"", ""version"", ""new"", ""beauty"", ""youngest"", ""book"", ""years""]","[""academy award"", ""california"", ""fairytale"", ""nominated"", ""western"", ""oscar nominated actress"", ""television"", ""revisioning"", ""version"", ""novelbased"", ""written"", ""sleeping beauty"", ""forgotten"", ""movie"", ""adaptation"", ""upcoming"", ""actresses"", ""unfortunate princess"", ""deadlinecom"", ""considered"", ""landing"", ""starred"", ""unfortunate"", ""story"", ""role"", ""youngest"", ""upcoming book"", ""oscars"", ""california native"", ""oscar nominated"", ""dream"", ""true"", ""classic"", ""beauty""]","[""academi award"", ""california"", ""fairytal"", ""nomin"", ""western"", ""oscar nomin actress"", ""televis"", ""revis"", ""version"", ""novelbas"", ""written"", ""sleep beauti"", ""forgotten"", ""movi"", ""adapt"", ""upcom"", ""actress"", ""unfortun princess"", ""deadlinecom"", ""consid"", ""land"", ""star"", ""unfortun"", ""stori"", ""role"", ""youngest"", ""upcom book"", ""oscar"", ""california nativ"", ""oscar nomin"", ""dream"", ""true"", ""classic"", ""beauti""]"
"SubString{String}[""miral"", ""terrific second career"", ""many earnest platitudes"", ""schnabel"", ""night falls"", ""anger-inducing violent"", ""terrorist actions"", ""horrible consequences"", ""semiautobiographical novel"", ""circumstance yearning"", ""hiam abbass"", ""rula jebreal"", ""disgraced former"", ""jerusalem"", ""playing"", ""first"", ""conflict"", ""pinto"", ""movie"", ""bomb"", ""much"", ""biographies"", ""basquiat"", ""deal"", ""protagonists"", ""people"", ""regard"", ""butterfly"", ""such"", ""one-sided"", ""least"", ""husseini"", ""bell"", ""tom"", ""choices""]","[""conflict of interest"", ""lsquomiralrsquo director"", ""arabictinged tongues"", ""slumdog millionaire"", ""kendall square cinema"", ""before night falls"", ""earnest platitudes"", ""basquiat"", ""biographies"", ""mama hind husseini"", ""miral rated pg 13"", ""jerusalem circa"", ""painterturneddirector julian schnabel oscarnominated"", ""butterfly"", ""musical choices"", ""terrific second"", ""tom waits"", ""schnabels girlfriend palestinian journalist rula jebreal"", ""exquisite the diving bell"", ""miral"", ""interest"", ""director"", ""conflict""]","[""conflict of interest"", ""lsquomiralrsquo director"", ""arabicting tongu"", ""slumdog millionair"", ""kendal squar cinema"", ""befor night fall"", ""earnest platitud"", ""basquiat"", ""biographi"", ""mama hind husseini"", ""miral rate pg 13"", ""jerusalem circa"", ""painterturneddirector julian schnabel oscarnomin"", ""butterfli"", ""music choic"", ""terrif second"", ""tom wait"", ""schnabel girlfriend palestinian journalist rula jebreal"", ""exquisit the dive bell"", ""miral"", ""interest"", ""director"", ""conflict""]"
"SubString{String}[""fifth pirates"", ""stranger tides"", ""pirates johnny"", ""woozy buccaneer captain"", ""pirates"", ""new story"", ""jerry"", ""audience"", ""one"", ""story"", ""caribbean"", ""fresh"", ""new"", ""johnny"", ""adventures"", ""stories"", ""trilogy""]","[""screenplay"", ""carry"", ""told"", ""stranger"", ""adventures"", ""next"", ""digital"", ""character"", ""pirates"", ""works"", ""really"", ""new"", ""long"", ""future"", ""audience embraces"", ""loves"", ""stories"", ""make"", ""continuing"", ""fresh"", ""cameras"", ""film"", ""flick"", ""instalment"", ""success"", ""whole new story"", ""digital 3d cameras"", ""audience embraces this"", ""fifth pirates of the caribbean film"", ""trilogy"", ""fifth"", ""producer jerry bruckheimer"", ""johnny's woozy buccaneer captain jack sparrow"", ""original"", ""ended up as"", ""johnny depp"", ""tale"", ""on stranger tides"", ""story line"", ""same key characters""]","[""screenplay"", ""carri"", ""told"", ""stranger"", ""adventur"", ""next"", ""digit"", ""charact"", ""pirat"", ""work"", ""realli"", ""new"", ""long"", ""futur"", ""audienc embrac"", ""love"", ""stori"", ""make"", ""continu"", ""fresh"", ""camera"", ""film"", ""flick"", ""instal"", ""success"", ""whole new stori"", ""digit 3d camera"", ""audienc embrac thi"", ""fifth pirat of the caribbean film"", ""trilog"", ""fifth"", ""produc jerri bruckheim"", ""johnny' woozi buccan captain jack sparrow"", ""origin"", ""end up as"", ""johnni depp"", ""tale"", ""on stranger tide"", ""stori line"", ""same key charact""]"
"SubString{String}[""h&m profit"", ""h&m"", ""press conference today"", ""zara stores"", ""asia last year"", ""rival inditex"", ""percent"", ""input costs"", ""input prices"", ""inditex"", ""stores"", ""many price activities"", ""last year"", ""today"", ""more robust"", ""celeste perri"", ""press conference"", ""retailer"", ""costs"", ""prices"", ""year"", ""analyst"", ""gross margin"", ""driven market"", ""restrained consumption"", ""armorel kenna"", ""march"", ""unfavourable weather"", ""kronor"", ""more"", ""story"", ""editor"", ""price"", ""zara"", ""sales"", ""profit"", ""irwin"", ""customers"", ""quarter"", ""bloomberg"", ""china"", ""critchlow"", ""company"", ""strategy"", ""products"", ""period"", ""asia"", ""stock"", ""analysts"", ""environment"", ""pounds"", ""discount"", ""milan"", ""world"", ""paul"", ""stockholm"", ""reporter"", ""trench""]","[""sixth paragraph"", ""story"", ""billion kronor"", ""statement today"", ""average estimate"", ""more than"", ""press conference"", ""percent"", ""consumption"", ""amount"", ""midmarket"", ""period"", ""input"", ""editor responsible"", ""larger rival"", ""quarter"", ""today"", ""conference today"", ""main"", ""competition"", ""margin"", ""discount"", ""record"", ""contact"", ""february"", ""liberum capital in london"", ""product"", ""fourth quarter"", ""stockholmbased company"", ""phone"", ""analyst"", ""market"", ""environment"", ""company"", ""persson"", ""cotton"", ""smaller"", ""marketshare"", ""revenue"", ""strategy"", ""pass"", ""prices"", ""absorbs cost rises"", ""misses estimates"", ""hm"", ""retailer"", ""profit""]","[""sixth paragraph"", ""stori"", ""billion kronor"", ""statement today"", ""averag estim"", ""more than"", ""press confer"", ""percent"", ""consumpt"", ""amount"", ""midmarket"", ""period"", ""input"", ""editor respons"", ""larger rival"", ""quarter"", ""today"", ""confer today"", ""main"", ""competit"", ""margin"", ""discount"", ""record"", ""contact"", ""februari"", ""liberum capit in london"", ""product"", ""fourth quarter"", ""stockholmbas compani"", ""phone"", ""analyst"", ""market"", ""environ"", ""compani"", ""persson"", ""cotton"", ""smaller"", ""marketshar"", ""revenu"", ""strategi"", ""pass"", ""price"", ""absorb cost rise"", ""miss estim"", ""hm"", ""retail"", ""profit""]"
"SubString{String}[""galleon trader"", ""goldman sachs"", ""insider trading trial"", ""galleon manager"", ""phone tap"", ""trader ananth"", ""goldman"", ""insider trading"", ""galleon"", ""rajaratnam"", ""frantic calls"", ""week"", ""undercover audio"", ""day"", ""trader"", ""i"", ""court"", ""trial"", ""gupta"", ""minutes"", ""manager"", ""prosecutors"", ""september"", ""tip"", ""investment"", ""call"", ""ananth"", ""wednesday"", ""april"", ""manhattan"", ""end""]","[""court"", ""happen"", ""million"", ""recordings played"", ""discussing"", ""galleon"", ""allegations"", ""prosecutors"", ""fund manager"", ""conversation"", ""listen"", ""direct"", ""information regarding"", ""phone"", ""financial"", ""describing"", ""called"", ""evidence"", ""recent"", ""reached"", ""meeting"", ""person"", ""reveals"", ""frantic"", ""director"", ""receiving"", ""announced"", ""referring"", ""pressed"", ""biggest"", ""heard"", ""recordings"", ""efforts"", ""known"", ""founder's"", ""investment"", ""trader"", ""bank secrets"", ""undercover"", ""manhattan federal""]","[""court"", ""happen"", ""million"", ""record play"", ""discuss"", ""galleon"", ""alleg"", ""prosecutor"", ""fund manag"", ""convers"", ""listen"", ""direct"", ""inform regard"", ""phone"", ""financi"", ""describ"", ""call"", ""evid"", ""recent"", ""reach"", ""meet"", ""person"", ""reveal"", ""frantic"", ""director"", ""receiv"", ""announc"", ""refer"", ""press"", ""biggest"", ""heard"", ""record"", ""effort"", ""known"", ""founder'"", ""invest"", ""trader"", ""bank secret"", ""undercov"", ""manhattan feder""]"
"SubString{String}[""delphi stake"", ""delphi automotive"", ""delphi"", ""gm"", ""global auto supplier"", ""pension benefit"", ""sale"", ""supplier relationship"", ""auto supplier"", ""detroit automaker"", ""ownership stake"", ""balance sheet"", ""government firm"", ""pension"", ""more cash"", ""chief financial officer"", ""supplier"", ""detroit news"", ""bankruptcy"", ""vice president"", ""automaker"", ""stake"", ""cash"", ""government"", ""firm"", ""company"", ""ownership"", ""global"", ""phillippi"", ""more"", ""relationship"", ""business"", ""thursday"", ""rogers"", ""simple""]","[""christina rogers"", ""2011"", ""bankruptcy"", ""phillippi autotrends consulting"", ""stake"", ""end its ties"", ""chief financial officer"", ""forced to reacquire"", ""jim cain"", ""systematically"", ""troybased"", ""fortify"", ""chinese government"", ""sold"", ""insurer"", ""commitment"", ""delphi automotive llp"", ""16 billion"", ""private equity"", ""gm sells"", ""david shepardson"", ""38b"", ""balance sheet"", ""pension benefit guaranty corp"", ""dan ammann"", ""detroit news general motors co"", ""revenue"", ""594 million"", ""pension benefit"", ""ownership"", ""things much for"", ""officially becomes"", ""simple"", ""sheet"", ""relationship"", ""move helps clear"", ""said thursday"", ""new firm"", ""public"", ""balance"", ""separate company"", ""forced"", ""valued"", ""claims"", ""billion"", ""sale"", ""than"", ""cash"", ""reacquire"", ""first quarter"", ""take"", ""last year"", ""auto"", ""bringing"", ""sale strengthens"", ""process"", ""which pays"", ""global"", ""chinese"", ""down more debt""]","[""christina roger"", ""2011"", ""bankruptci"", ""phillippi autotrend consult"", ""stake"", ""end it tie"", ""chief financi offic"", ""forc to reacquir"", ""jim cain"", ""systemat"", ""troybas"", ""fortifi"", ""chines govern"", ""sold"", ""insur"", ""commit"", ""delphi automot llp"", ""16 billion"", ""privat equiti"", ""gm sell"", ""david shepardson"", ""38b"", ""balanc sheet"", ""pension benefit guaranti corp"", ""dan ammann"", ""detroit news gener motor co"", ""revenu"", ""594 million"", ""pension benefit"", ""ownership"", ""thing much for"", ""offici becom"", ""simpl"", ""sheet"", ""relationship"", ""move help clear"", ""said thursday"", ""new firm"", ""public"", ""balanc"", ""separ compani"", ""forc"", ""valu"", ""claim"", ""billion"", ""sale"", ""than"", ""cash"", ""reacquir"", ""first quarter"", ""take"", ""last year"", ""auto"", ""bring"", ""sale strengthen"", ""process"", ""which pay"", ""global"", ""chines"", ""down more debt""]"
"SubString{String}[""china service"", ""google inc"", ""google advertising"", ""google information"", ""china"", ""google"", ""chinese tax law"", ""internet company"", ""foreign companies"", ""internet search"", ""tax laws"", ""tax violations"", ""internet censorship"", ""tax avoidance"", ""internet market"", ""companies"", ""chinese government"", ""third company"", ""chinese authorities"", ""search market"", ""tax"", ""internet"", ""report"", ""company"", ""taxation authorities"", ""foreign ministry"", ""co ltd"", ""economic daily"", ""search"", ""full compliance"", ""country"", ""government"", ""anti-authoritarian uprisings"", ""middle east"", ""north africa"", ""recent months"", ""laws"", ""censorship"", ""violations"", ""year"", ""yuan"", ""inc"", ""ministry"", ""users"", ""advertising"", ""third"", ""service"", ""law"", ""shanghai"", ""protests"", ""separate"", ""director"", ""marbridge"", ""stake"", ""thursday"", ""claims"", ""natkin""]","[""total"", ""said"", ""managing"", ""began"", ""year"", ""revenues"", ""authorities"", ""renewed"", ""front"", ""information"", ""enterprises"", ""hacking"", ""careful"", ""accused"", ""law"", ""headaches"", ""google"", ""50"", ""government over"", ""beijingbased"", ""embellished"", ""bring"", ""worth"", ""the company"", ""china's"", ""statement"", ""world's"", ""recent"", ""mark"", ""homegrown"", ""longrunning"", ""marbridge"", ""brief story"", ""government"", ""middle east"", ""spokeswoman"", ""companies"", ""investigating"", ""50 each year"", ""censorship"", ""regulations"", ""reputation"", ""shanghai"", ""generates"", ""country"", ""beijing"", ""north africa"", ""internet"", ""named"", ""tax law"", ""businesses"", ""china"", ""separate"", ""units"", ""service"", ""unjustified"", ""disclaimer"", ""unfounded"", ""iresearch"", ""director"", ""tax investigation"", ""newspaper"", ""homegrown baidu"", ""violations"", ""telecommunications"", ""protests"", ""avoidance"", ""momentum"", ""450 million"", ""economic daily"", ""mark natkin"", ""search giant"", ""punished""]","[""total"", ""said"", ""manag"", ""began"", ""year"", ""revenu"", ""author"", ""renew"", ""front"", ""inform"", ""enterpris"", ""hack"", ""care"", ""accus"", ""law"", ""headach"", ""googl"", ""50"", ""govern over"", ""beijingbas"", ""embellish"", ""bring"", ""worth"", ""the compani"", ""china'"", ""statement"", ""world'"", ""recent"", ""mark"", ""homegrown"", ""longrun"", ""marbridg"", ""brief stori"", ""govern"", ""middl east"", ""spokeswoman"", ""compani"", ""investig"", ""50 each year"", ""censorship"", ""regul"", ""reput"", ""shanghai"", ""gener"", ""countri"", ""beij"", ""north africa"", ""internet"", ""name"", ""tax law"", ""busi"", ""china"", ""separ"", ""unit"", ""servic"", ""unjustifi"", ""disclaim"", ""unfound"", ""iresearch"", ""director"", ""tax investig"", ""newspap"", ""homegrown baidu"", ""violat"", ""telecommun"", ""protest"", ""avoid"", ""momentum"", ""450 million"", ""econom daili"", ""mark natkin"", ""search giant"", ""punish""]"
"SubString{String}[""state oil production"", ""alaska oil"", ""oil production"", ""oil companies"", ""oil"", ""alaska"", ""tax break"", ""production"", ""clear message"", ""pipeline system"", ""miller"", ""amendment"", ""break"", ""juneau"", ""companies"", ""parnell"", ""statement"", ""state"", ""percent"", ""benefit"", ""certain"", ""legislators""]","[""benefit"", ""declines"", ""production"", ""pledged"", ""barrels"", ""companies"", ""proposing"", ""increased production"", ""certain metrics"", ""withdraw"", ""oil companies"", ""fire"", ""introduced"", ""alaska"", ""amendment"", ""restrictions"", ""clear message"", ""future"", ""juneau alaska"", ""lawmaker introduced"", ""republican"", ""alaska oil bill draws"", ""statement"", ""earning"", ""encourage investments"", ""increase production"", ""legislators"", ""unacceptable"", ""pipeline"", ""tax break provided"", ""break"", ""break provided"", ""giving"", ""bill draws early fire"", ""state oil"", ""amendment friday"", ""asking"", ""reduce"", ""encourage"", ""next decade parnell"", ""continue getting"", ""make certain metrics"", ""strategy"", ""erase declines""]","[""benefit"", ""declin"", ""product"", ""pledg"", ""barrel"", ""compani"", ""propos"", ""increas product"", ""certain metric"", ""withdraw"", ""oil compani"", ""fire"", ""introduc"", ""alaska"", ""amend"", ""restrict"", ""clear messag"", ""futur"", ""juneau alaska"", ""lawmak introduc"", ""republican"", ""alaska oil bill draw"", ""statement"", ""earn"", ""encourag invest"", ""increas product"", ""legisl"", ""unaccept"", ""pipelin"", ""tax break provid"", ""break"", ""break provid"", ""give"", ""bill draw earli fire"", ""state oil"", ""amend friday"", ""ask"", ""reduc"", ""encourag"", ""next decad parnel"", ""continu get"", ""make certain metric"", ""strategi"", ""eras declin""]"
"SubString{String}[""german man"", ""blackmail plot"", ""upcoming bundesliga match"", ""plot dortmund"", ""federal spokesman"", ""german"", ""blackmail"", ""security threat"", ""bombs"", ""dortmund"", ""man"", ""spokesman"", ""germany"", ""authorities"", ""criminal"", ""federal"", ""home"", ""saturday"", ""bbc"", ""stadium"", ""visitors"", ""stein"", ""explosives""]","[""dortmund"", ""unsolved attempted blackmail case"", ""blackmail bid"", ""safely defused"", ""cologne"", ""tuesday"", ""cache of bombs"", ""westfalenstadion"", ""explosives"", ""parking garage"", ""arrested"", ""germany"", ""pakistan"", ""25yearold german"", ""burying"", ""no ties to terrorist or islamist organizations"", ""soccer stadium"", ""federal office of criminal investigation"", ""german embassy"", ""began"", ""terrorist"", ""information"", ""national"", ""unnamed"", ""stadium"", ""dortmund"", ""blackmail"", ""criminal investigation"", ""plot"", ""german arrested"", ""man"", ""organizations authorities"", ""safe"", ""bombs"", ""cache"", ""bundesliga"", ""worded"", ""german"", ""invited"", ""federal"", ""unsolved"", ""saturday"", ""apparently"", ""april""]","[""dortmund"", ""unsolv attempt blackmail case"", ""blackmail bid"", ""safe defus"", ""cologn"", ""tuesday"", ""cach of bomb"", ""westfalenstadion"", ""explos"", ""park garag"", ""arrest"", ""germani"", ""pakistan"", ""25yearold german"", ""buri"", ""no tie to terrorist or islamist organ"", ""soccer stadium"", ""feder offic of crimin investig"", ""german embassi"", ""began"", ""terrorist"", ""inform"", ""nation"", ""unnam"", ""stadium"", ""dortmund"", ""blackmail"", ""crimin investig"", ""plot"", ""german arrest"", ""man"", ""organ author"", ""safe"", ""bomb"", ""cach"", ""bundesliga"", ""word"", ""german"", ""invit"", ""feder"", ""unsolv"", ""saturday"", ""appar"", ""april""]"
"SubString{String}[""seattle police"", ""seattle times"", ""seattle"", ""doj investigation"", ""ashby jones"", ""latino robbery suspect"", ""justice department"", ""police"", ""phoenix jones"", ""investigation"", ""excessive force"", ""possible excessive"", ""other miscreants"", ""little hard"", ""drug dealers"", ""justice"", ""ashby"", ""jones"", ""american"", ""suspect"", ""yesterday"", ""department"", ""force"", ""possible"", ""doj"", ""phoenix"", ""story"", ""times"", ""page"", ""stating"", ""piss"", ""detective"", ""june"", ""panoramic"", ""mellow"", ""lighter""]","[""dealers"", ""kicking"", ""discriminating"", ""search"", ""working"", ""carving"", ""vacation"", ""announced"", ""native"", ""indicate"", ""ashby's page"", ""jaywalking"", ""lattes"", ""blackandgold"", ""faied"", ""stereotypical"", ""earlier"", ""little"", ""phoenix"", ""miscreants"", ""seattle"", ""investigation"", ""yesterday"", ""investigate"", ""brush"", ""panoramic"", ""highprofile"", ""issue"", ""videotaped"", ""suspect"", ""experience"", ""transparent"", ""department"", ""separate"", ""welcomes"", ""firsthand experience"", ""native american"", ""modernday superhero phoenix jones"", ""seattle postintelligencer"", ""excessive use"", ""force"", ""nathan koppel"", ""latino robbery"", ""doj"", ""feds investigate seattle police"", ""ashby jones"", ""mexican piss"", ""justice department's"", ""officer"", ""seattle times"", ""chief john diaz"", ""african american"", ""videotaped punching"", ""patagonia"", ""patrolled""]","[""dealer"", ""kick"", ""discrimin"", ""search"", ""work"", ""carv"", ""vacat"", ""announc"", ""nativ"", ""indic"", ""ashby' page"", ""jaywalk"", ""latt"", ""blackandgold"", ""fai"", ""stereotyp"", ""earlier"", ""littl"", ""phoenix"", ""miscreant"", ""seattl"", ""investig"", ""yesterday"", ""investig"", ""brush"", ""panoram"", ""highprofil"", ""issu"", ""videotap"", ""suspect"", ""experi"", ""transpar"", ""depart"", ""separ"", ""welcom"", ""firsthand experi"", ""nativ american"", ""modernday superhero phoenix jone"", ""seattl postintelligenc"", ""excess use"", ""forc"", ""nathan koppel"", ""latino robberi"", ""doj"", ""fed investig seattl polic"", ""ashbi jone"", ""mexican piss"", ""justic department'"", ""offic"", ""seattl time"", ""chief john diaz"", ""african american"", ""videotap punch"", ""patagonia"", ""patrol""]"
