Unnamed: 0,predicted,ground_truth
0,"Phish Phavors New York With 3-Day Phestival In Phinger Lakes Big announcement today from Phish HQ : the quartet will be playing a three day festival in New York in July . a three day festival will be held at Watkins Glen International -LRB- about a five hours drive from the city -RRB- from July 1st to the 3rd , and as our resident hippie here at Gothamist HQ points out , '' `` our resident hippie here at Gothamist HQ do n't think there 's been a concert there of this magnitude since Summer Jam , perhaps because Summer Jam was a traffic nightmare . '' '' Perfect , because nothing says Independence Day like burning some phossil phuel with your phellow Americans . In the quartet's announcement today the quartet does point out that , yes , a three day festival is '' `` the first major music festival held at Watkins Glen International -LRB- about a five hours drive from the city -RRB- since 1973 '' `` s legendary Summer Jam . '' '' the quartet also note a three day festival will be the quartet's '' `` biggest ball ever '' '' -LRB- of the quartet's nine , and counting -RRB- , so be prepared : -LRB- Summer Jam got into Guiness for the '' `` Largest audience at a pop festival , '' '' with 600,000 in attendance -RRB- . Not scared of a little traffic ? Tickets go on sale this coming Monday , April 4th , right here - and more information can be found in the quartet's enjoyable little video below . Phish HQ notes that a three day festival continues a tradition that began with The Clifford Ball in August of 1996 - which was awesome , and we may or may not be in this video taken there .",concert big announcement 3-day phestival phish phavors new york traffic nightmare hq watkins glen international quartet will super ball playing summer jam phinger lakes magnitude
1,"Movie Review - '' `` In A Better World '' '' - Considering the number of ethical dilemmas raised in A Better World , I wish I could say I 'd been left with more questions rattling around in I's head than '' `` What on earth were the Oscar voters thinking ? '' '' Taking home the trophy for Best Foreign Language Film will certainly help A Better World find an audience at art houses . And there 's a lot to be said for A Better World A Better World's . But after a few queasy moments at A Better World's midpoint , the trajectory of A Better World becomes so relentlessly platitudinous that an audience that ought to feel seriously rattled will be settling back , feeling comfortably reassured . settling 's not true early on , as Susanne Bier 's cuts between Anton -LRB- Mikael Persbrandt -RRB- , a humanitarian Danish doctor dealing with the aftereffects of tribal violence in an unspecified African nation , and Anton -LRB- Mikael Persbrandt -RRB- , a humanitarian Danish doctor dealing with the aftereffects of tribal violence in an unspecified African nation's put-upon adolescent son Elias -LRB- Markus Rygaard -RRB- , who 's at home and being tormented in his put-upon adolescent son Elias -LRB- Markus Rygaard -RRB- , who 's at home and being tormented in his father 's absence by a school bully's absence by a school bully . his put-upon adolescent son Elias -LRB- Markus Rygaard -RRB- , who 's at home and being tormented in his father 's absence by a school bully finds an ally when Christian -LRB- William Johnk Nielsen -RRB- joins the class - a well-spoken , polite kid whose anger at Christian -LRB- William Johnk Nielsen -RRB-'s mother 's recent death -LRB- from cancer -RRB- needs an outlet . Christian -LRB- William Johnk Nielsen -RRB-'s philosophy about dealing with bullies , which is basically that if you hit back hard enough the first time , you wo n't need to hit back again , is n't one that school authorities would likely approve . But it changes the dynamics of his put-upon adolescent son Elias -LRB- Markus Rygaard -RRB- , who 's at home and being tormented in his father 's absence by a school bully's life pretty quickly . it also has predictably dire repercussions when the boys decide to apply it to other conflicts . Anton -LRB- Mikael Persbrandt -RRB- , a humanitarian Danish doctor dealing with the aftereffects of tribal violence in an unspecified African nation , meanwhile , is confronted with ethical dilemmas of Anton -LRB- Mikael Persbrandt -RRB- , a humanitarian Danish doctor dealing with the aftereffects of tribal violence in an unspecified African nation's own when Big Man , a brutal local warlord whose savagery keeps Anton -LRB- Mikael Persbrandt -RRB- , a humanitarian Danish doctor dealing with the aftereffects of tribal violence in an unspecified African nation's operating table full , comes in with a life-threatening wound . From there Susanne Bier 's whips absent parents , pipe bombs , the Hippocratic oath , marital infidelity , impotent authority figures and other ingredients into a potent melodramatic brew that poses but does n't answer such questions as whether violence is sometimes necessary or always a poisoner of souls , and whether turning the other cheek establishes moral authority or destabilizes social order . Contrasting warm African golds with chilly Danish greens , Susanne Bier 's matches striking visuals with overtly melodramatic situations - children with access to rooftops and fireworks to get your protective juices flowing , predators so unsubtle predators so unsubtle's comeuppance seems a foregone conclusion . Susanne Bier 's creates some genuinely disturbing moments - a scene in which Anton -LRB- Mikael Persbrandt -RRB- , a humanitarian Danish doctor dealing with the aftereffects of tribal violence in an unspecified African nation allows a bullying father to strike Anton -LRB- Mikael Persbrandt -RRB- , a humanitarian Danish doctor dealing with the aftereffects of tribal violence in an unspecified African nation again and again in front of the kids , a harrowing exchange with Big Man , a brutal local warlord whose savagery keeps Anton 's operating table full , as Big Man , a brutal local warlord whose savagery keeps Anton 's operating table full , begins to heal - but resolves some genuinely disturbing moments in ways that allow the audience , if not Susanne Bier 's's protagonists , to shrug off moral consequences . There 's sufficient craft that you go along with the twists , even as Susanne Bier 's is wrapping things up with a neatly tied bow . But in a better world , In a Better World would be a better movie .",matches basically anton's authorities putupon unspecified ways violence feeling chilly begins moments conflicts anton questions comeuppance harrowing order contrasting markus hit parents allow recent oath hippocratic lifethreatening relentlessly world language protagonists operating table full christian's children considering susanne pretty quickly consequences african nation disturbing man danish earnest danish greens wellacted better world
2,"True Grit star Hailee Steinfeld in talks to play Sleeping Beauty True Grit star Hailee Steinfeld is set to play Sleeping Beauty in a re-visioning of the classic fairytale . True Grit star Hailee Steinfeld has signed on to play Sleeping Beauty in a re-visioning of the classic fairytale . a re-visioning of the classic fairytale will be a spin of a version of the classic fairytale which is being written by screen writer Lindsay Devlin . According to Deadline.com a re-visioning of the classic fairytale will give True Grit star Hailee Steinfeld more to do than just sleep as a re-visioning of the classic fairytale will follow True Grit star Hailee Steinfeld as True Grit star Hailee Steinfeld enters a dream world and has to find True Grit star Hailee Steinfeld's way out . True Grit star Hailee Steinfeld is also currently being considered to play the lead role in the novel-based film Forgotten , from the upcoming book of the same name by Cat Patrick . After being one of the youngest ever actresses to be nominated for an Academy Award at this years Oscars True Grit star Hailee Steinfeld is set to have a busy year with several other offers on the table . True Grit star Hailee Steinfeld had only starred in several television bit parts before landing the lead role in the Cohen Brothers adaptation of the classic John Wayne western True Grit alongside Jeff Bridges .",academy award california fairytale nominated western oscar nominated actress television revisioning version novelbased written sleeping beauty forgotten movie adaptation upcoming actresses unfortunate princess deadlinecom considered landing starred unfortunate story role youngest upcoming book oscars california native oscar nominated dream true classic beauty
3,"& lsquo ; Miral & lsquo ; : Director has conflict of interest `` Miral '' Rated PG - 13 . At Kendall Square Cinema : C + Painter-turned-director Julian Schnabel -LRB- Oscar-nominated for his exquisite `` The Diving Bell and the Butterfly '' -RRB- has built a terrific second career from filmed biographies -LRB- also in-cluding `` Before Night Falls '' and `` Basquiat '' -RRB- that deal with people confined by circumstance yearning to break free . I 'd love to report that his's fourth film , `` Miral , '' continues the upward trend , but the screenplay by his's girlfriend , Palestinian journalist Rula Jebreal -LRB- based on her semiautobiographical novel -RRB- , contains too many earnest platitudes in his fourth film , `` Miral , '''s one-sided look at four women 's intertwining lives during the first intifada of the 1980s . -LRB- Some musical choices , such as Tom Waits ' `` All the World Is Green '' playing over a climactic funeral , also stand out in a bad way . -RRB- Miral -LRB- Freida Pinto , `` Slumdog Millionaire '' -RRB- , the young Arab woman growing up in Jerusalem during the first intifada of the 1980s , does n't enter the picture immediately , and when she does , she does n't have much to say -- at first . -LRB- A bit of a good thing , because she's Indian-accented English does n't quite jibe with the Arabic-tinged tongues of she's co-stars . -RRB- Beginning in war-torn Jerusalem circa 1948 , when `` Mama '' Hind Husseini -LRB- Hiam Abbass , `` The Visitor '' -RRB- established an orphanage for refugees that quickly becomes home to 2,000 , his fourth film , `` Miral , '' spans the next 50 years , and though his's artist 's eye is on display , the Israel / Palestine conflict is a subject that his never brings into clear focus -- at least with regard to Israelis . And when his presents what some would believe terrorist actions of his's protagonists , his sidesteps the potentially horrible consequences : a disgraced former nurse -- a lifesaver -- plants a bomb in a crowded movie theater -LRB- playing , without a hint of subtlety , Roman Polanski 's `` Repulsion '' -RRB- but a bomb fails to explode ; a car bomb is set off by Miral's political activist boyfriend -- though there are seemingly no casualties . So much for the horrors of war . -LRB- `` Miral '' contains anger-inducing violent themes , particularly for those sympathetic to Israel . -RRB-",conflict of interest lsquomiralrsquo director arabictinged tongues slumdog millionaire kendall square cinema before night falls earnest platitudes basquiat biographies mama hind husseini miral rated pg 13 jerusalem circa painterturneddirector julian schnabel oscarnominated butterfly musical choices terrific second tom waits schnabels girlfriend palestinian journalist rula jebreal exquisite the diving bell miral interest director conflict
4,"Depp could be back for more Pirates Depp will be asked to make a fifth Pirates Of The Caribbean film if the fourth instalment is a success . Producer Jerry Bruckheimer said Producer Jerry Bruckheimer already has a screenplay in the works for a fifth Pirates Of The Caribbean tale , which would follow the forthcoming Pirates Of The Caribbean : On Stranger Tides . '' `` As long as the audience embraces the fourth instalment , we 'll certainly try to make another one . It 's really up to Depp . Depp loves the character , '' '' Producer Jerry Bruckheimer said . The original three Pirates Of The Caribbean blockbusters ended up as a trilogy continuing the same key characters and story line . But Producer Jerry Bruckheimer said On Stranger Tides - the first Pirates Of The Caribbean flick shot with digital 3D cameras - and future Pirates Of The Caribbean films will be stand-alone stories continuing the adventures of the character . '' `` the audience told we -LRB- at test screenings of Stranger Tides - the first Pirates flick shot with digital 3D cameras - -RRB- what the audience loved about Stranger Tides - the first Pirates flick shot with digital 3D cameras - is that Stranger Tides - the first Pirates flick shot with digital 3D cameras - was fresh , Stranger Tides - the first Pirates flick shot with digital 3D cameras - was new , Stranger Tides - the first Pirates flick shot with digital 3D cameras - was a whole new story , '' '' Producer Jerry Bruckheimer said . '' `` So that will carry over into the next one , too , to give the next one something fresh and different . '' ''",screenplay carry told stranger adventures next digital character pirates works really new long future audience embraces loves stories make continuing fresh cameras film flick instalment success whole new story digital 3d cameras audience embraces this fifth pirates of the caribbean film trilogy fifth producer jerry bruckheimer johnny's woozy buccaneer captain jack sparrow original ended up as johnny depp tale on stranger tides story line same key characters
5,"H&M Profit Misses Estimates as H&M Absorbs Cost Rises -LRB- Adds comments from press conference in sixth paragraph . -RRB- March 31 -LRB- Bloomberg -RRB- - H&M reported first-quarter profit that fell more than analysts anticipated as H&M decided against passing on higher costs to customers . Net income dropped 30 percent to 2.62 billion kronor -LRB- $ 420 million -RRB- in the quarter ended Feb. 28 from 3.74 billion kronor from the year-earlier period , H&M said in a statement March 31 . The average estimate of 13 analysts surveyed by Bloomberg was for profit of 2.77 billion kronor . The shares fell as much as 4.4 percent . H&M's sales dropped 1 percent in the quarter ended Feb. 28 while larger rival Inditex SA posted a 10 percent jump in larger rival Inditex SA's fourth quarter ended Jan. 31 . H&M has reduced prices for some items even as the price of cotton has traded near a record while some competitors have raised or maintained prices for some items . `` H&M is making a massive bet on market-share gains , '' Simon Irwin , an analyst at Liberum Capital in London , said by phone March 31 . `` H&M 're cutting prices in an environment where H&M's costs are rising and competition is increasing . '' H&M shares fell as much as 9.5 kronor to 207.10 kronor and traded at 208.40 kronor as of 12:01 p.m. . The stock has dropped 6.9 percent this year , compared with larger rival Inditex SA's 0.7 percent advance . larger rival Inditex SA runs Zara stores . H&M's strategy to not pass on increased sourcing costs has served H&M well and The Swedish retailer 's strategy to not pass on increased sourcing costs is `` good in the longer term , '' H&M Chief Executive Officer Karl-Johan Persson said at a press conference March 31 . Trench Coat H&M sells a trench coat on H&M's U.K. Website for 34.99 pounds -LRB- $ 56.44 -RRB- , while Zara offers one for 79.99 pounds . larger rival Inditex SA gets about 65 percent of larger rival Inditex SA's revenue from Zara . H&M sources two-thirds of H&M's product from Asia . larger rival Inditex SA gets about 35 percent of larger rival Inditex SA's products from Asia and only half of about 35 percent of its products comes from China , where input costs are rising the fastest , said London-based Societe Generale analyst Anne Critchlow in an e-mail . `` H&M has chosen to reduce H&M's prices in the current environment , which further hurts the gross margin , '' said London-based Societe Generale analyst Anne Critchlow The stock . `` larger rival Inditex SA says larger rival Inditex SA's prices are maintained . '' H&M's gross margin in the first quarter was 57.8 percent , compared with 61.9 percent a year earlier . Sales in February rose by 9 percent in local currencies from the same month last year and advanced 3 percent between March 1 and March 29 . ` More Robust ' `` larger rival Inditex SA is much better-placed '' than H&M , said Simon Irwin , an analyst at Liberum Capital in London , . `` larger rival Inditex SA's top-line has been more robust , and given larger rival Inditex SA's mid-market positioning and proximity sourcing base larger rival Inditex SA is less exposed to rising input prices . '' H&M also said March 31 that the three months was `` characterized by continued restrained consumption , a discount - driven market with many price activities and unfavourable weather conditions , '' in December when H&M closed some stores temporarily amid heavy snowstorms . `` Sales have remained sluggish , which we think will raise concerns that H&M is confusing customers and pricing too close to discounters , '' said Bank of America Merrill Lynch analyst Richard Chamberlain in a note March 31 . larger rival Inditex SA also plans to expand at about twice the pace of H&M , with a target of 500 new stores this year while H&M aims for 250 . larger rival Inditex SA said on March 23 that larger rival Inditex SA opened 160 stores in Asia last year , of which 75 were in China , where input costs are rising the fastest's main and smaller cities . larger rival Inditex SA plans to add a further 120 Chinese stores across larger rival Inditex SA's eight brands in 2011 . - With assistance by Janina Pfalzer in Stockholm . Editor : Celeste Perri , Paul Jarvis To contact the reporter on this story : Armorel Kenna in Milan at akenna@bloomberg.net To contact the editor responsible for this story : Celeste Perri at cperri@bloomberg.net .",sixth paragraph story billion kronor statement today average estimate more than press conference percent consumption amount midmarket period input editor responsible larger rival quarter today conference today main competition margin discount record contact february liberum capital in london product fourth quarter stockholmbased company phone analyst market environment company persson cotton smaller marketshare revenue strategy pass prices absorbs cost rises misses estimates hm retailer profit
6,"Undercover Audio Reveals Rajaratnam 's Frantic Calls After Rajaratnam 's made $ 1 million in two minutes of frantic calls after receiving an inside tip about a big investment in Goldman Sachs at the height of the financial crisis , prosecutors said this week at Rajaratnam 's's insider trading trial . In the Galleon founder 's insider trading trial , U.S. prosecutors have persistently pressed phone tap evidence that Rajaratnam 's had a direct line to Rajaratnam 's's friend and then Goldman Sachs director , Rajat Gupta , who leaked bank secrets to Rajaratnam 's . the Galleon founder 's insider trading trial is in the Galleon founder 's insider trading trial's fourth week and could last until the end of April . On Wednesday , the Manhattan federal court jury heard another FBI phone tap to support government allegations Rajaratnam 's knew a day before it was announced in September 2008 that Goldman Sachs would receive a $ 5 billion investment from Warren Buffett 's Berkshire Hathaway . In the phone tap of a call on Sept. 24 , 2008 , between Rajaratnam 's and Rajaratnam 's's personal Goldman Sachs trader , Ian Horowitz , Rajaratnam 's is heard describing Rajaratnam 's's efforts the previous day to buy shares two minutes before the 4 p.m. stock market close . '' `` Rajaratnam 's got a call at 3:58 , right ? '' '' Rajaratnam 's said , referring to the September 2008 conversation with his friend and then Goldman Sachs director , Rajat Gupta , who leaked bank secrets to him about a Goldman Sachs board meeting September 2008 . '' `` Saying something good might happen to Goldman Sachs , right ? '' '' But when Rajaratnam 's then called Goldman Sachs , the first trader Rajaratnam 's reached was unable to complete it . '' `` Rajaratnam 's , so Rajaratnam 's told Ananth to buy some , Ananth was fucking around , Ananth ca n't , you know . So Rajaratnam 's went to Gary and just buy Rajaratnam 's , right ? '' '' The full name of Ananth was not known and the other person was Gary . Below , you can listen to the most recent undercover audio recordings played in court this week . Rajaratnam 's discussing inside information regarding Goldman Sachs earnings :",court happen million recordings played discussing galleon allegations prosecutors fund manager conversation listen direct information regarding phone financial describing called evidence recent reached meeting person reveals frantic director receiving announced referring pressed biggest heard recordings efforts known founder's investment trader bank secrets undercover manhattan federal
7,"GM sells Delphi stake for $ 3.8 B sells strengthens GM's cash , boosts balance sheet David Shepardson and Christina Rogers / The Detroit News General Motors Co. has sells Delphi stake Delphi to bolster cash and fortify The Detroit News General Motors Co.'s balance sheet . The Detroit News General Motors Co. said Thursday sells was valued at $ 3.8 billion . The Detroit News General Motors Co. Delphi reacquired partial ownership of in Delphi in October 2009 as Delphi exited bankruptcy as a new firm owned mostly by former creditors . Delphi filed for bankruptcy in 2005 . '' `` The Detroit News General Motors Co. are systematically delivering on The Detroit News General Motors Co.'s commitment to strengthen and simplify its balance sheet , '' '' said Dan Ammann , who officially becomes The Detroit News General Motors Co.'s senior vice president and chief financial officer today . sells ends a painful period for GM , which had sought to end its ties with Delphi , only to be forced to reacquire its global steering business in 2009 . The Detroit News General Motors Co. sold its global steering business to a Chinese government firm last year . sells does n't change The Detroit News General Motors Co.'s day-to-day relationship with Delphi . '' `` sells allows The Detroit News General Motors Co. and Delphi to have a normal automaker , supplier relationship , '' '' said The Detroit News General Motors Co. spokesman Jim Cain . The Detroit News General Motors Co. will report $ 1.6 billion in revenue from sells in the first quarter of 2011 . While The Detroit News General Motors Co. will eventually earn $ 3.8 billion on sells , The Detroit News General Motors Co. previously spent $ 12.5 billion to help Delphi during Delphi's bankruptcy stay . Analyst Joe Phillippi , AutoTrends Consulting in Short Hills , N.J. , said sells is n't likely to change things much for The Detroit News General Motors Co. or Delphi . '' `` sells is the culmination of a process that began more than 10 years ago , '' '' Analyst Joe Phillippi , AutoTrends Consulting in Short Hills , N.J. , said . '' `` The Detroit News General Motors Co. is bringing in more cash and The Detroit News General Motors Co. 'll pay down more debt , pure and simple . '' '' On Thursday , the Pension Benefit Guaranty Corp. -- the government 's pension insurer -- sold the Pension Benefit Guaranty Corp. -- the government 's pension insurer --'s stake in Delphi for $ 594 million . sold helps clear the way for Delphi's private equity owners to sell the company or take Delphi public . PBGC , which pays Delphi's pension benefits , obtained an interest in Delphi in 2009 for claims on Delphi's bankruptcy-terminated pension plans . dshepardson@detnews.com",christina rogers 2011 bankruptcy phillippi autotrends consulting stake end its ties chief financial officer forced to reacquire jim cain systematically troybased fortify chinese government sold insurer commitment delphi automotive llp 16 billion private equity gm sells david shepardson 38b balance sheet pension benefit guaranty corp dan ammann detroit news general motors co revenue 594 million pension benefit ownership things much for officially becomes simple sheet relationship move helps clear said thursday new firm public balance separate company forced valued claims billion sale than cash reacquire first quarter take last year auto bringing sale strengthens process which pays global chinese down more debt
8,"Google faces tax investigation by China Long-running feud between China and internet company flares up again as China alleges tax violations by subsidiaries Chinese authorities have found three companies linked to Google broke tax rules and are investigating possible tax avoidance , a state-run newspaper said on Thursday , raising the risk of renewed pressure on Google . Google said two of the companies named were Google's units , and a third was a separate firm that works closely with Google . But Google denied the tax violations alleged in a state-run newspaper . '' `` Google believe Google are , and always have been , in full compliance with Chinese tax law , '' '' Google said in a statement . Even if said is unfounded or embellished , said could bring fresh headaches in China for Google Google . China generates a small percentage of Google's revenues , but is the world 's largest internet market with more than 450 million users . China's search market , dominated by homegrown Baidu Inc , was worth 11bn yuan -LRB- # 1.05 bn -RRB- in 2010 and is likely to grow by about 50 % each year for the next four years , according to iResearch . a state-run newspaper said that three companies linked to Google Inc were '' `` Google enterprises in China '' '' . '' `` Chinese authorities have already investigated and punished three companies linked to Google Inc according to the law , '' '' said said on said's front page . three companies linked to Google Inc were accused of presenting false and unjustified claims to the total value of 40m yuan , said said . said did not say when the claimed violations are alleged to have happened . '' `` It is understood by this reporter that Chinese authorities are further investigating Google businesses in China on suspicion of tax avoidance , '' '' said the brief story , which was also later reported by China's official Xinhua news agency . A Google spokesperson said the two of three companies linked to Google Inc - Google Information Technology -LRB- China -RRB- Co Ltd and and Google Information Technology -LRB- Shanghai -RRB- Co Ltd - were Google's sub-units . said said the third company named , Google Advertising -LRB- Shanghai -RRB- Co Ltd , was a separate firm which works '' `` closely with Google as Google's sole first-tier reseller in China '' '' of advertising on Google's web pages . '' `` Most foreign companies in China , especially high-profile companies with a global reputation at stake , are pretty careful to make sure Most foreign companies in China , especially high-profile companies with a global reputation at stake , are in full compliance with the relevant tax laws , '' '' said Mark Natkin , managing director of Marbridge Consulting , a China company that advises investors about China's Internet and telecommunications sectors . China's foreign ministry would not comment directly about said . '' `` Generally speaking , any companies operating abroad should obey the laws and regulations of the host country , '' '' said the ministry spokeswoman Jiang Yu . said appeared after Google again clashed with China over internet censorship . Earlier this month , Google said any difficulty that users in China may have faced opening Google's email service were likely the result of government blocks . China's ruling Communist party has intensified censorship in recent months , fearing that calls for protests inspired by anti-authoritarian uprisings across the Middle East and north Africa could gather momentum . Google's serious run-ins with China began in January 2010 , when Google said Google was no longer willing to censor search results in China . Previously , Google included a disclaimer on Google's China service that searches may not be complete because of local laws .",total said managing began year revenues authorities renewed front information enterprises hacking careful accused law headaches google 50 government over beijingbased embellished bring worth the company china's statement world's recent mark homegrown longrunning marbridge brief story government middle east spokeswoman companies investigating 50 each year censorship regulations reputation shanghai generates country beijing north africa internet named tax law businesses china separate units service unjustified disclaimer unfounded iresearch director tax investigation newspaper homegrown baidu violations telecommunications protests avoidance momentum 450 million economic daily mark natkin search giant punished
9,"Alaska oil bill draws early fire JUNEAU , Alaska , April 1 -LRB- UPI -RRB- - An Alaska lawmaker introduced an amendment Friday that would give oil companies a tax break provided oil companies pledged to increase production . Alaska Gov. Sean Parnell , a Republican , unveiled plans for 1 million barrels of oil production per day through the Trans-Alaska pipeline system within the next decade . Alaska Gov. Sean Parnell , a Republican , said Alaska Gov. Sean Parnell , a Republican , was proposing a tax break to encourage investments and to erase declines in state oil production . '' `` The time to reduce oil taxes is now and Alaska Gov. Sean Parnell , a Republican , am asking all Alaskans to send a clear message to legislators in JUNEAU , Alaska that a '' `` do-nothing '' '' strategy is unacceptable because Alaska's future is at stake , '' '' Alaska Gov. Sean Parnell , a Republican , said in a statement . But An Alaska lawmaker introduced an amendment . Under An Alaska lawmaker's plan , companies would get a tax break until January 2017 . After January 2017 , companies would need to have increased production by 10 percent of current levels to continue getting a break and increase production by another 2 percent each year beyond 2017 . '' `` We want to be sure that companies are earning the breaks that We are giving , '' '' An Alaska lawmaker said in a statement . '' `` an amendment says here 's the benefit . If you do not make certain metrics for the benefit of Alaska , We withdraw those benefits . '' ''",benefit declines production pledged barrels companies proposing increased production certain metrics withdraw oil companies fire introduced alaska amendment restrictions clear message future juneau alaska lawmaker introduced republican alaska oil bill draws statement earning encourage investments increase production legislators unacceptable pipeline tax break provided break break provided giving bill draws early fire state oil amendment friday asking reduce encourage next decade parnell continue getting make certain metrics strategy erase declines
