Unnamed: 0,predicted,ground_truth,ground_truth_stemmed
0,"SubString{String}[""day festival"", ""quartet's announcement today"", ""summer jam"", ""phish hq"", ""festival"", ""gothamist hq"", ""little traffic"", ""day"", ""new york"", ""little video"", ""announcement today"", ""quartet's"", ""resident hippie"", ""phish"", ""traffic"", ""quartet"", ""ball"", ""city"", ""video"", ""drive"", ""watkins""]","[""concert"", ""big announcement"", ""3-day phestival"", ""phish phavors new york"", ""traffic nightmare"", ""hq"", ""watkins glen international"", ""quartet will"", ""super ball"", ""playing"", ""summer jam"", ""phinger lakes"", ""magnitude""]","[""concert"", ""big announc"", ""3-day phestiv"", ""phish phavor new york"", ""traffic nightmar"", ""hq"", ""watkin glen intern"", ""quartet will"", ""super ball"", ""play"", ""summer jam"", ""phinger lake"", ""magnitud""]"
1,"SubString{String}[""unspecified african nation's put-upon adolescent"", ""better world"", ""susanne bier"", ""unspecified african nation"", ""william johnk nielsen )'s"", ""better world's"", ""unspecified african nation's"", ""william johnk nielsen"", ""better"", ""moral authority"", ""put-upon adolescent"", ""disturbing moments"", ""anton"", ""table full"", ""african"", ""big man"", ""other"", ""ethical dilemmas"", ""school"", ""oscar voters"", ""hippocratic oath"", ""protective juices"", ""pipe bombs"", ""audience"", ""moments"", ""mikael"", ""melodramatic"", ""questions"", ""christian"", ""authority"", ""moral"", ""violence"", ""danish"", ""predators"", ""father"", ""absence"", ""home"", ""earth"", ""trophy"", ""marital"", ""access"", ""best""]","[""matches"", ""basically"", ""anton's"", ""authorities"", ""putupon"", ""unspecified"", ""ways"", ""violence"", ""feeling"", ""chilly"", ""begins"", ""moments"", ""conflicts"", ""anton"", ""questions"", ""comeuppance"", ""harrowing"", ""order contrasting"", ""markus"", ""hit"", ""parents"", ""allow"", ""recent"", ""oath"", ""hippocratic"", ""lifethreatening"", ""relentlessly"", ""world"", ""language"", ""protagonists"", ""operating table full"", ""christian's"", ""children"", ""considering"", ""susanne"", ""pretty quickly"", ""consequences"", ""african nation"", ""disturbing"", ""man"", ""danish"", ""earnest"", ""danish greens"", ""wellacted"", ""better world""]","[""match"", ""basic"", ""anton'"", ""author"", ""putupon"", ""unspecifi"", ""way"", ""violenc"", ""feel"", ""chilli"", ""begin"", ""moment"", ""conflict"", ""anton"", ""question"", ""comeupp"", ""harrow"", ""order contrast"", ""marku"", ""hit"", ""parent"", ""allow"", ""recent"", ""oath"", ""hippocrat"", ""lifethreaten"", ""relentlessli"", ""world"", ""languag"", ""protagonist"", ""oper tabl full"", ""christian'"", ""children"", ""consid"", ""susann"", ""pretti quickli"", ""consequ"", ""african nation"", ""disturb"", ""man"", ""danish"", ""earnest"", ""danish green"", ""wellact"", ""better world""]"
2,"SubString{String}[""beauty true grit star hailee steinfeld"", ""true grit star hailee steinfeld"", ""true grit star hailee"", ""true grit"", ""classic fairytale"", ""lead role"", ""classic"", ""same name"", ""cat patrick"", ""several"", ""re-visioning"", ""beauty"", ""book""]","[""academy award"", ""california"", ""fairytale"", ""nominated"", ""western"", ""oscar nominated actress"", ""television"", ""revisioning"", ""version"", ""novelbased"", ""written"", ""sleeping beauty"", ""forgotten"", ""movie"", ""adaptation"", ""upcoming"", ""actresses"", ""unfortunate princess"", ""deadlinecom"", ""considered"", ""landing"", ""starred"", ""unfortunate"", ""story"", ""role"", ""youngest"", ""upcoming book"", ""oscars"", ""california native"", ""oscar nominated"", ""dream"", ""true"", ""classic"", ""beauty""]","[""academi award"", ""california"", ""fairytal"", ""nomin"", ""western"", ""oscar nomin actress"", ""televis"", ""revis"", ""version"", ""novelbas"", ""written"", ""sleep beauti"", ""forgotten"", ""movi"", ""adapt"", ""upcom"", ""actress"", ""unfortun princess"", ""deadlinecom"", ""consid"", ""land"", ""star"", ""unfortun"", ""stori"", ""role"", ""youngest"", ""upcom book"", ""oscar"", ""california nativ"", ""oscar nomin"", ""dream"", ""true"", ""classic"", ""beauti""]"
3,"SubString{String}[""his's fourth film"", ""c + painter-turned-director julian schnabel"", ""miral"", ""first intifada"", ""fourth film"", ""his's"", ""terrific second career"", ""bomb"", ""diving bell"", ""night falls"", ""anger-inducing violent"", ""hiam abbass"", ""rula jebreal"", ""semiautobiographical novel"", ""hind husseini"", ""first"", ""playing"", ""she's"", ""jerusalem"", ""conflict"", ""much"", ""oscar-nominated"", ""exquisite"", ""butterfly"", ""biographies"", ""basquiat"", ""deal"", ""people"", ""tom"", ""cinema"", ""visitor"", ""circumstance"", ""such"", ""former"", ""least""]","[""conflict of interest"", ""lsquomiralrsquo director"", ""arabictinged tongues"", ""slumdog millionaire"", ""kendall square cinema"", ""before night falls"", ""earnest platitudes"", ""basquiat"", ""biographies"", ""mama hind husseini"", ""miral rated pg 13"", ""jerusalem circa"", ""painterturneddirector julian schnabel oscarnominated"", ""butterfly"", ""musical choices"", ""terrific second"", ""tom waits"", ""schnabels girlfriend palestinian journalist rula jebreal"", ""exquisite the diving bell"", ""miral"", ""interest"", ""director"", ""conflict""]","[""conflict of interest"", ""lsquomiralrsquo director"", ""arabicting tongu"", ""slumdog millionair"", ""kendal squar cinema"", ""befor night fall"", ""earnest platitud"", ""basquiat"", ""biographi"", ""mama hind husseini"", ""miral rate pg 13"", ""jerusalem circa"", ""painterturneddirector julian schnabel oscarnomin"", ""butterfli"", ""music choic"", ""terrif second"", ""tom wait"", ""schnabel girlfriend palestinian journalist rula jebreal"", ""exquisit the dive bell"", ""miral"", ""interest"", ""director"", ""conflict""]"
4,"SubString{String}[""producer jerry bruckheimer"", ""stranger tides"", ""pirates"", ""caribbean"", ""fourth instalment"", ""audience"", ""cameras"", ""digital"", ""character"", ""story"", ""one"", ""fresh""]","[""screenplay"", ""carry"", ""told"", ""stranger"", ""adventures"", ""next"", ""digital"", ""character"", ""pirates"", ""works"", ""really"", ""new"", ""long"", ""future"", ""audience embraces"", ""loves"", ""stories"", ""make"", ""continuing"", ""fresh"", ""cameras"", ""film"", ""flick"", ""instalment"", ""success"", ""whole new story"", ""digital 3d cameras"", ""audience embraces this"", ""fifth pirates of the caribbean film"", ""trilogy"", ""fifth"", ""producer jerry bruckheimer"", ""johnny's woozy buccaneer captain jack sparrow"", ""original"", ""ended up as"", ""johnny depp"", ""tale"", ""on stranger tides"", ""story line"", ""same key characters""]","[""screenplay"", ""carri"", ""told"", ""stranger"", ""adventur"", ""next"", ""digit"", ""charact"", ""pirat"", ""work"", ""realli"", ""new"", ""long"", ""futur"", ""audienc embrac"", ""love"", ""stori"", ""make"", ""continu"", ""fresh"", ""camera"", ""film"", ""flick"", ""instal"", ""success"", ""whole new stori"", ""digit 3d camera"", ""audienc embrac thi"", ""fifth pirat of the caribbean film"", ""trilog"", ""fifth"", ""produc jerri bruckheim"", ""johnny' woozi buccan captain jack sparrow"", ""origin"", ""end up as"", ""johnni depp"", ""tale"", ""on stranger tide"", ""stori line"", ""same key charact""]"
5,"SubString{String}[""larger rival inditex sa's prices"", ""larger rival inditex sa's products"", ""larger rival inditex sa"", ""larger rival inditex sa's"", ""h&m profit"", ""h&m"", ""h&m's costs"", ""press conference march"", ""h&m's gross margin"", ""h&m's prices"", ""asia last year"", ""h&m's sales"", ""h&m's strategy"", ""input costs"", ""zara stores"", ""march"", ""percent"", ""input prices"", ""h&m's"", ""last year"", ""analyst anne"", ""costs"", ""celeste perri"", ""press conference"", ""many price"", ""stores"", ""analyst"", ""year"", ""gross margin"", ""prices"", ""driven market"", ""restrained consumption"", ""armorel kenna"", ""paul jarvis"", ""kronor"", ""story"", ""editor"", ""quarter"", ""asia"", ""price"", ""zara"", ""more"", ""customers"", ""sales"", ""bloomberg"", ""profit"", ""stock"", ""analysts"", ""simon"", ""items"", ""environment"", ""strategy"", ""london-based"", ""products"", ""discount"", ""london"", ""milan"", ""reporter"", ""akenna@bloomberg.net""]","[""sixth paragraph"", ""story"", ""billion kronor"", ""statement today"", ""average estimate"", ""more than"", ""press conference"", ""percent"", ""consumption"", ""amount"", ""midmarket"", ""period"", ""input"", ""editor responsible"", ""larger rival"", ""quarter"", ""today"", ""conference today"", ""main"", ""competition"", ""margin"", ""discount"", ""record"", ""contact"", ""february"", ""liberum capital in london"", ""product"", ""fourth quarter"", ""stockholmbased company"", ""phone"", ""analyst"", ""market"", ""environment"", ""company"", ""persson"", ""cotton"", ""smaller"", ""marketshare"", ""revenue"", ""strategy"", ""pass"", ""prices"", ""absorbs cost rises"", ""misses estimates"", ""hm"", ""retailer"", ""profit""]","[""sixth paragraph"", ""stori"", ""billion kronor"", ""statement today"", ""averag estim"", ""more than"", ""press confer"", ""percent"", ""consumpt"", ""amount"", ""midmarket"", ""period"", ""input"", ""editor respons"", ""larger rival"", ""quarter"", ""today"", ""confer today"", ""main"", ""competit"", ""margin"", ""discount"", ""record"", ""contact"", ""februari"", ""liberum capit in london"", ""product"", ""fourth quarter"", ""stockholmbas compani"", ""phone"", ""analyst"", ""market"", ""environ"", ""compani"", ""persson"", ""cotton"", ""smaller"", ""marketshar"", ""revenu"", ""strategi"", ""pass"", ""price"", ""absorb cost rise"", ""miss estim"", ""hm"", ""retail"", ""profit""]"
6,"SubString{String}[""goldman sachs trader"", ""trader rajaratnam"", ""goldman sachs"", ""rajaratnam"", ""insider trading trial"", ""phone tap"", ""insider trading"", ""undercover audio"", ""frantic calls"", ""bank secrets"", ""week"", ""court"", ""day"", ""ananth"", ""prosecutors"", ""inside"", ""september"", ""minutes"", ""investment"", ""call"", ""galleon"", ""friend"", ""wednesday"", ""april""]","[""court"", ""happen"", ""million"", ""recordings played"", ""discussing"", ""galleon"", ""allegations"", ""prosecutors"", ""fund manager"", ""conversation"", ""listen"", ""direct"", ""information regarding"", ""phone"", ""financial"", ""describing"", ""called"", ""evidence"", ""recent"", ""reached"", ""meeting"", ""person"", ""reveals"", ""frantic"", ""director"", ""receiving"", ""announced"", ""referring"", ""pressed"", ""biggest"", ""heard"", ""recordings"", ""efforts"", ""known"", ""founder's"", ""investment"", ""trader"", ""bank secrets"", ""undercover"", ""manhattan federal""]","[""court"", ""happen"", ""million"", ""record play"", ""discuss"", ""galleon"", ""alleg"", ""prosecutor"", ""fund manag"", ""convers"", ""listen"", ""direct"", ""inform regard"", ""phone"", ""financi"", ""describ"", ""call"", ""evid"", ""recent"", ""reach"", ""meet"", ""person"", ""reveal"", ""frantic"", ""director"", ""receiv"", ""announc"", ""refer"", ""press"", ""biggest"", ""heard"", ""record"", ""effort"", ""known"", ""founder'"", ""invest"", ""trader"", ""bank secret"", ""undercov"", ""manhattan feder""]"
7,"SubString{String}[""detroit news general motors co. delphi"", ""detroit news general motors co."", ""detroit news general motors"", ""delphi stake delphi"", ""delphi stake"", ""delphi"", ""delphi's pension"", ""delphi's bankruptcy"", ""chief financial officer today"", ""global steering business"", ""balance sheet"", ""more cash"", ""pension"", ""government firm"", ""delphi's"", ""analyst joe"", ""bankruptcy"", ""cash"", ""stake"", ""government"", ""firm"", ""more"", ""thursday"", ""relationship"", ""n.j."", ""gm"", ""painful"", ""hills""]","[""christina rogers"", ""2011"", ""bankruptcy"", ""phillippi autotrends consulting"", ""stake"", ""end its ties"", ""chief financial officer"", ""forced to reacquire"", ""jim cain"", ""systematically"", ""troybased"", ""fortify"", ""chinese government"", ""sold"", ""insurer"", ""commitment"", ""delphi automotive llp"", ""16 billion"", ""private equity"", ""gm sells"", ""david shepardson"", ""38b"", ""balance sheet"", ""pension benefit guaranty corp"", ""dan ammann"", ""detroit news general motors co"", ""revenue"", ""594 million"", ""pension benefit"", ""ownership"", ""things much for"", ""officially becomes"", ""simple"", ""sheet"", ""relationship"", ""move helps clear"", ""said thursday"", ""new firm"", ""public"", ""balance"", ""separate company"", ""forced"", ""valued"", ""claims"", ""billion"", ""sale"", ""than"", ""cash"", ""reacquire"", ""first quarter"", ""take"", ""last year"", ""auto"", ""bringing"", ""sale strengthens"", ""process"", ""which pays"", ""global"", ""chinese"", ""down more debt""]","[""christina roger"", ""2011"", ""bankruptci"", ""phillippi autotrend consult"", ""stake"", ""end it tie"", ""chief financi offic"", ""forc to reacquir"", ""jim cain"", ""systemat"", ""troybas"", ""fortifi"", ""chines govern"", ""sold"", ""insur"", ""commit"", ""delphi automot llp"", ""16 billion"", ""privat equiti"", ""gm sell"", ""david shepardson"", ""38b"", ""balanc sheet"", ""pension benefit guaranti corp"", ""dan ammann"", ""detroit news gener motor co"", ""revenu"", ""594 million"", ""pension benefit"", ""ownership"", ""thing much for"", ""offici becom"", ""simpl"", ""sheet"", ""relationship"", ""move help clear"", ""said thursday"", ""new firm"", ""public"", ""balanc"", ""separ compani"", ""forc"", ""valu"", ""claim"", ""billion"", ""sale"", ""than"", ""cash"", ""reacquir"", ""first quarter"", ""take"", ""last year"", ""auto"", ""bring"", ""sale strengthen"", ""process"", ""which pay"", ""global"", ""chines"", ""down more debt""]"
8,"SubString{String}[""google google"", ""google's china service"", ""google inc"", ""google advertising"", ""china company"", ""google information"", ""google"", ""china"", ""chinese tax law"", ""most foreign companies"", ""china's foreign ministry"", ""tax laws"", ""tax violations"", ""china's search market"", ""china's internet"", ""tax avoidance"", ""google's"", ""internet company"", ""internet censorship"", ""companies"", ""internet market"", ""chinese authorities"", ""tax"", ""state-run newspaper"", ""third company"", ""inc"", ""co ltd"", ""china's"", ""full compliance"", ""anti-authoritarian uprisings"", ""middle east"", ""laws"", ""violations"", ""yuan"", ""ministry"", ""censorship"", ""search"", ""service"", ""law"", ""advertising"", ""users"", ""third"", ""stake"", ""shanghai"", ""protests"", ""separate"", ""north"", ""%"", ""year"", ""next"", ""months"", ""likely"", ""reputation""]","[""total"", ""said"", ""managing"", ""began"", ""year"", ""revenues"", ""authorities"", ""renewed"", ""front"", ""information"", ""enterprises"", ""hacking"", ""careful"", ""accused"", ""law"", ""headaches"", ""google"", ""50"", ""government over"", ""beijingbased"", ""embellished"", ""bring"", ""worth"", ""the company"", ""china's"", ""statement"", ""world's"", ""recent"", ""mark"", ""homegrown"", ""longrunning"", ""marbridge"", ""brief story"", ""government"", ""middle east"", ""spokeswoman"", ""companies"", ""investigating"", ""50 each year"", ""censorship"", ""regulations"", ""reputation"", ""shanghai"", ""generates"", ""country"", ""beijing"", ""north africa"", ""internet"", ""named"", ""tax law"", ""businesses"", ""china"", ""separate"", ""units"", ""service"", ""unjustified"", ""disclaimer"", ""unfounded"", ""iresearch"", ""director"", ""tax investigation"", ""newspaper"", ""homegrown baidu"", ""violations"", ""telecommunications"", ""protests"", ""avoidance"", ""momentum"", ""450 million"", ""economic daily"", ""mark natkin"", ""search giant"", ""punished""]","[""total"", ""said"", ""manag"", ""began"", ""year"", ""revenu"", ""author"", ""renew"", ""front"", ""inform"", ""enterpris"", ""hack"", ""care"", ""accus"", ""law"", ""headach"", ""googl"", ""50"", ""govern over"", ""beijingbas"", ""embellish"", ""bring"", ""worth"", ""the compani"", ""china'"", ""statement"", ""world'"", ""recent"", ""mark"", ""homegrown"", ""longrun"", ""marbridg"", ""brief stori"", ""govern"", ""middl east"", ""spokeswoman"", ""compani"", ""investig"", ""50 each year"", ""censorship"", ""regul"", ""reput"", ""shanghai"", ""gener"", ""countri"", ""beij"", ""north africa"", ""internet"", ""name"", ""tax law"", ""busi"", ""china"", ""separ"", ""unit"", ""servic"", ""unjustifi"", ""disclaim"", ""unfound"", ""iresearch"", ""director"", ""tax investig"", ""newspap"", ""homegrown baidu"", ""violat"", ""telecommun"", ""protest"", ""avoid"", ""momentum"", ""450 million"", ""econom daili"", ""mark natkin"", ""search giant"", ""punish""]"
9,"SubString{String}[""alaska gov. sean parnell"", ""alaska oil"", ""alaska lawmaker"", ""oil production"", ""oil companies"", ""alaska"", ""tax break"", ""oil"", ""production"", ""companies"", ""republican"", ""break"", ""juneau"", ""amendment"", ""percent"", ""benefit"", ""statement"", ""unacceptable"", ""strategy"", ""alaska's""]","[""benefit"", ""declines"", ""production"", ""pledged"", ""barrels"", ""companies"", ""proposing"", ""increased production"", ""certain metrics"", ""withdraw"", ""oil companies"", ""fire"", ""introduced"", ""alaska"", ""amendment"", ""restrictions"", ""clear message"", ""future"", ""juneau alaska"", ""lawmaker introduced"", ""republican"", ""alaska oil bill draws"", ""statement"", ""earning"", ""encourage investments"", ""increase production"", ""legislators"", ""unacceptable"", ""pipeline"", ""tax break provided"", ""break"", ""break provided"", ""giving"", ""bill draws early fire"", ""state oil"", ""amendment friday"", ""asking"", ""reduce"", ""encourage"", ""next decade parnell"", ""continue getting"", ""make certain metrics"", ""strategy"", ""erase declines""]","[""benefit"", ""declin"", ""product"", ""pledg"", ""barrel"", ""compani"", ""propos"", ""increas product"", ""certain metric"", ""withdraw"", ""oil compani"", ""fire"", ""introduc"", ""alaska"", ""amend"", ""restrict"", ""clear messag"", ""futur"", ""juneau alaska"", ""lawmak introduc"", ""republican"", ""alaska oil bill draw"", ""statement"", ""earn"", ""encourag invest"", ""increas product"", ""legisl"", ""unaccept"", ""pipelin"", ""tax break provid"", ""break"", ""break provid"", ""give"", ""bill draw earli fire"", ""state oil"", ""amend friday"", ""ask"", ""reduc"", ""encourag"", ""next decad parnel"", ""continu get"", ""make certain metric"", ""strategi"", ""eras declin""]"
